dataset,mse_original,mse_data_aug
Airfoil Self-Noise,0.23476073785748006,0.1520901322364807
AuctionVerification,510.42773149700884,466.7919616699219
RealEstate,5.906507889173116,4.478814601898193
ParkinsonsTelemonitoring,2.0282809897771865,1.2436102628707886
WineQuality,0.6284387966741305,0.5239357352256775
Abalone,2.2723418091290455,1.611431360244751

Airfoil Self-Noise,0.23476073785748006,0.23513884395452955
AuctionVerification,510.42773149700884,457.70753496783686
RealEstate,5.906507889173116,6.441496454943789
ParkinsonsTelemonitoring,2.0282809897771865,2.016454544302332
WineQuality,0.6284387966741305,0.6325603801289628
Abalone,2.2723418091290455,2.2989979990305685


Abalone,2.2723418091290455,2.2387912304719815
Abalone,2.2723418091290455,2.2044880507934197
Abalone,2.2723418091290455,2.2117292738728476
Abalone,2.2723418091290455,2.2069590469215936
Abalone,2.2723418091290455,2.1911809194036516
Abalone,2.2723418091290455,2.198661323554598
Abalone,2.2723418091290455,2.1873013065373015
Abalone,2.2723418091290455,2.738658970789757
Abalone,2.2723418091290455,2.2074609513064116
Abalone,2.2723418091290455,2.235141112009649
Abalone,2.2723418091290455,2.2483468303188037
Abalone,2.2723418091290455,2.1970379293546483
Abalone,2.2723418091290455,2.203268654173778

Airfoil Self-Noise,0.23476073785748006,0.35406706878468736
AuctionVerification,510.42773149700884,12333.519952031053
RealEstate,5.906507889173116,12.385343543785458
ParkinsonsTelemonitoring,2.0282809897771865,9.077141012630165
WineQuality,0.6284387966741305,0.6703088642016383
Abalone,2.2723418091290455,2.2181561320055088

Airfoil Self-Noise,0.23476073785748006,0.3659887511387293
AuctionVerification,510.42773149700884,12346.136122462865
RealEstate,5.906507889173116,13.638765084109936
ParkinsonsTelemonitoring,2.0282809897771865,9.13373391519381
WineQuality,0.6284387966741305,0.6815911177046026
Abalone,2.2723418091290455,2.2146405388964294

Airfoil Self-Noise,0.23476073785748006,0.38318489329984484
AuctionVerification,510.42773149700884,12433.926378984124
RealEstate,5.906507889173116,11.18632857230322
ParkinsonsTelemonitoring,2.0282809897771865,9.14968437545761
WineQuality,0.6284387966741305,0.6784360072316369
Abalone,2.2723418091290455,2.208418179964457

Airfoil Self-Noise,0.23476073785748006,0.23287692757656783
AuctionVerification,510.42773149700884,459.36045300132776
RealEstate,5.906507889173116,6.427398473634146
ParkinsonsTelemonitoring,2.0282809897771865,1.9845627734567437
WineQuality,0.6284387966741305,0.629800808988421
Abalone,2.2723418091290455,2.318484063880924

Airfoil Self-Noise,0.0445280588891221,0.04488580132332907
AuctionVerification,0.011456457490672376,0.1898344743847966
RealEstate,0.05424409295559232,0.05799182966969282
ParkinsonsTelemonitoring,0.04223071978176961,0.03815292046559637
WineQuality,0.10506986654481902,0.10320987836089382


Airfoil Self-Noise,0.0445280588891221,0.04532364491379304
AuctionVerification,0.011456457490672376,0.19060921767656475
RealEstate,0.05424409295559232,0.05778986072142782
ParkinsonsTelemonitoring,0.04223071978176961,0.03846993920833858
WineQuality,0.10506986654481902,0.10302581503545585


Airfoil Self-Noise,0.0445280588891221,0.04538895261418127
AuctionVerification,0.011456457490672376,0.19280516337639117
RealEstate,0.05424409295559232,0.05536297202457425
ParkinsonsTelemonitoring,0.04223071978176961,0.038274312012542944
WineQuality,0.10506986654481902,0.10348594564106829

Airfoil Self-Noise,0.0445280588891221,0.04562859398480033
AuctionVerification,0.011456457490672376,0.19024655606733187
RealEstate,0.05424409295559232,0.057548032986400745
ParkinsonsTelemonitoring,0.04223071978176961,0.03835211927933111
WineQuality,0.10506986654481902,0.1040335677430573


Airfoil Self-Noise,0.052866077817482336,0.04845803838421147
AuctionVerification,0.020090139659991613,0.18561443049002097
RealEstate,0.051198036643587456,0.05750122754031634
ParkinsonsTelemonitoring,0.06176569176259651,0.04341667910814155
WineQuality,0.10829925746859455,0.1062388054224097


Airfoil Self-Noise,0.10485037565282722,0.05390701849521469
AuctionVerification,0.09121570344567499,0.11776265788599823
RealEstate,0.06592561230982281,0.054138315890671036
ParkinsonsTelemonitoring,0.1274719254312274,0.052677228576440235
WineQuality,0.11992074752001985,0.10858060287769085


Airfoil Self-Noise,0.13384992486689934,0.08649424527707361
AuctionVerification,0.11278891644749706,0.09905956842374931
RealEstate,0.07033645526459387,0.05326327797053469
ParkinsonsTelemonitoring,0.1705030183926633,0.12015785527315127
WineQuality,0.1250549892673935,0.1142839333835333


Airfoil Self-Noise,0.13384992486689934,0.13381592767292455
AuctionVerification,0.11278891644749706,0.11266305432716044
RealEstate,0.07033645526459387,0.07006101893077292
ParkinsonsTelemonitoring,0.1705030183926633,0.1704301345053858
WineQuality,0.1250549892673935,0.1250613440449462

Airfoil Self-Noise,0.13384992486689934,0.08649424527707361
AuctionVerification,0.11278891644749706,0.09905956842374931
RealEstate,0.07033645526459387,0.05326327797053469
ParkinsonsTelemonitoring,0.1705030183926633,0.12015785527315127
WineQuality,0.1250549892673935,0.1142839333835333



Airfoil Self-Noise,0.07159575738958736,0.0673635615831884
AuctionVerification,0.04478094002065079,0.1850782246298351
RealEstate,0.05427746470056197,0.06101458293062337
ParkinsonsTelemonitoring,0.09210349124533848,0.06321573282405409
WineQuality,0.1125731952286648,0.11071978370695731
