U,TimeOfDay,DayOfWeek,Seasonality,Age,Gender,Location,PurchaseHistory,DeviceType,A,P_click,R
1,Afternoon,Friday,Spring,18-24,Female,West,6-10 purchases,Mobile,0.55,0.5989024021741549,1
4,Afternoon,Tuesday,Summer,18-24,Female,East,No purchases,Mobile,0.95,0.8148241630789271,1
2,Night,Friday,Spring,35-44,Male,North,1-5 purchases,Mobile,0.8,0.6749298887407628,1
2,Evening,Thursday,Fall,35-44,Female,East,No purchases,Tablet,0.9,0.4929265151658945,1
2,Evening,Wednesday,Winter,25-34,Female,South,1-5 purchases,Desktop,0.45,0.5173590990997116,0
4,Morning,Thursday,Fall,25-34,Female,South,No purchases,Desktop,0.65,0.5990349908534686,0
2,Evening,Friday,Spring,35-44,Female,East,No purchases,Tablet,0.4,0.4477376973043504,0
1,Morning,Monday,Spring,25-34,Male,South,10+ purchases,Mobile,0.3,0.6527020911526653,1
4,Night,Monday,Summer,25-34,Male,North,1-5 purchases,Desktop,0.8,0.7423573294545567,1
3,Night,Thursday,Winter,18-24,Female,North,10+ purchases,Mobile,0.85,0.7965295675082622,1
1,Evening,Friday,Spring,18-24,Female,North,6-10 purchases,Mobile,0.55,0.7303245116042778,1
3,Evening,Saturday,Summer,25-34,Female,South,10+ purchases,Mobile,0.75,0.8565510932018096,1
4,Evening,Wednesday,Fall,25-34,Male,South,1-5 purchases,Tablet,0.75,0.7062226419883303,1
4,Night,Tuesday,Spring,35-44,Male,West,No purchases,Mobile,0.2,0.5643556364842076,0
3,Night,Saturday,Fall,45-54,Male,East,10+ purchases,Desktop,0.8,0.7194604585173677,1
2,Night,Tuesday,Summer,35-44,Male,West,1-5 purchases,Tablet,1.0,0.556094871683281,0
2,Morning,Monday,Spring,55+,Female,West,No purchases,Mobile,0.55,0.4629735526073343,0
1,Night,Tuesday,Summer,25-34,Male,East,10+ purchases,Mobile,0.5,0.6926874845230803,0
2,Evening,Monday,Winter,18-24,Female,South,10+ purchases,Tablet,0.35,0.5966490355789275,1
4,Evening,Sunday,Winter,35-44,Male,West,No purchases,Mobile,0.65,0.6975678018416627,1
1,Night,Saturday,Winter,25-34,Female,East,6-10 purchases,Desktop,1.0,0.6152652735597165,1
4,Evening,Friday,Winter,18-24,Male,South,1-5 purchases,Mobile,0.25,0.7008896189471868,1
3,Morning,Wednesday,Summer,55+,Female,West,6-10 purchases,Mobile,0.45,0.6411713227084616,1
3,Night,Monday,Summer,55+,Female,North,6-10 purchases,Desktop,0.25,0.6029353655391143,1
4,Afternoon,Thursday,Winter,45-54,Female,South,No purchases,Tablet,0.8,0.5440912438223431,1
4,Evening,Wednesday,Spring,45-54,Female,East,No purchases,Mobile,0.4,0.7327533147249213,1
3,Afternoon,Saturday,Spring,55+,Male,West,1-5 purchases,Desktop,0.85,0.6323106085286652,0
2,Morning,Saturday,Spring,45-54,Female,North,No purchases,Desktop,0.7,0.518941915413214,0
2,Evening,Monday,Winter,35-44,Male,South,No purchases,Tablet,0.95,0.5479233627950488,1
1,Morning,Friday,Spring,18-24,Male,East,10+ purchases,Desktop,0.55,0.6772658945762083,0
4,Evening,Thursday,Winter,18-24,Male,South,No purchases,Mobile,0.3,0.6984628027775478,0
2,Evening,Friday,Winter,45-54,Female,South,No purchases,Desktop,0.9,0.5291076902795893,0
3,Evening,Tuesday,Spring,35-44,Male,West,10+ purchases,Tablet,0.8,0.7058988342632856,1
1,Night,Wednesday,Summer,18-24,Female,West,1-5 purchases,Mobile,0.7,0.5567957955615297,1
4,Evening,Wednesday,Winter,25-34,Male,South,No purchases,Mobile,0.3,0.6891280118446892,0
2,Morning,Sunday,Winter,35-44,Male,West,1-5 purchases,Mobile,0.9,0.639913591762815,1
3,Night,Saturday,Summer,45-54,Female,West,6-10 purchases,Desktop,0.55,0.6677723995610786,0
4,Night,Tuesday,Spring,18-24,Female,North,1-5 purchases,Desktop,0.75,0.7197322584107216,1
2,Morning,Monday,Summer,35-44,Male,South,6-10 purchases,Mobile,0.55,0.7220295752737469,0
4,Morning,Sunday,Summer,35-44,Female,North,No purchases,Desktop,0.2,0.594186938837525,1
4,Night,Friday,Summer,18-24,Female,North,No purchases,Mobile,0.75,0.722372822970856,0
3,Morning,Wednesday,Summer,45-54,Female,East,1-5 purchases,Desktop,1.0,0.7273215658039516,1
1,Evening,Wednesday,Summer,45-54,Female,South,No purchases,Tablet,0.5,0.4958590895453191,1
2,Night,Saturday,Spring,35-44,Male,East,6-10 purchases,Mobile,0.7,0.724269159678714,0
3,Evening,Sunday,Spring,25-34,Female,West,10+ purchases,Mobile,0.45,0.8138624658829852,1
3,Afternoon,Sunday,Summer,35-44,Female,East,10+ purchases,Desktop,0.25,0.711289038985717,0
4,Night,Tuesday,Winter,18-24,Female,West,No purchases,Mobile,0.75,0.6692596771379804,1
1,Night,Wednesday,Winter,35-44,Female,North,No purchases,Mobile,0.05,0.3742968200321002,0
4,Afternoon,Tuesday,Summer,35-44,Female,North,No purchases,Desktop,0.55,0.6658725916892368,1
3,Morning,Thursday,Winter,45-54,Male,South,6-10 purchases,Desktop,0.05,0.4964872809151981,1
3,Evening,Thursday,Fall,45-54,Female,North,6-10 purchases,Desktop,0.85,0.7315689325000819,1
1,Afternoon,Thursday,Fall,35-44,Male,East,6-10 purchases,Mobile,0.9,0.7188178794576383,1
3,Afternoon,Thursday,Summer,35-44,Female,West,6-10 purchases,Desktop,0.75,0.6841620987715825,1
1,Night,Monday,Summer,25-34,Male,South,1-5 purchases,Desktop,0.4,0.5007216727084268,0
4,Night,Thursday,Spring,35-44,Male,East,No purchases,Mobile,0.25,0.6701142442259393,1
3,Night,Thursday,Fall,45-54,Male,East,6-10 purchases,Desktop,0.6,0.6853895580890039,0
1,Evening,Tuesday,Winter,25-34,Male,East,1-5 purchases,Mobile,0.25,0.6250937106407757,1
3,Morning,Sunday,Winter,45-54,Female,East,No purchases,Desktop,0.7,0.561340842703929,1
4,Night,Sunday,Summer,35-44,Male,West,No purchases,Mobile,0.2,0.6250460543189997,1
4,Afternoon,Thursday,Winter,55+,Male,South,No purchases,Desktop,0.7,0.5748859155762661,1
2,Morning,Saturday,Winter,18-24,Male,South,No purchases,Mobile,0.25,0.4290821295834229,0
4,Evening,Friday,Summer,18-24,Female,West,No purchases,Desktop,0.85,0.6989663697709021,1
3,Morning,Sunday,Fall,45-54,Female,South,1-5 purchases,Desktop,0.75,0.5785832018810904,0
3,Afternoon,Wednesday,Fall,35-44,Female,West,10+ purchases,Desktop,0.85,0.6643056429356937,1
2,Morning,Wednesday,Fall,18-24,Male,North,No purchases,Tablet,0.1,0.3520661730737751,0
2,Morning,Monday,Spring,18-24,Female,East,6-10 purchases,Desktop,0.1,0.521646136003784,0
3,Night,Tuesday,Spring,55+,Female,South,6-10 purchases,Tablet,0.8,0.584747860541748,1
4,Evening,Saturday,Fall,35-44,Female,West,No purchases,Mobile,0.95,0.711507115844589,0
1,Night,Saturday,Spring,35-44,Male,South,1-5 purchases,Mobile,1.0,0.6776027499675223,1
4,Night,Sunday,Summer,35-44,Female,East,No purchases,Tablet,0.25,0.5178057570966985,1
1,Evening,Sunday,Spring,55+,Female,West,No purchases,Mobile,0.9,0.5802434266770554,0
3,Afternoon,Saturday,Spring,35-44,Male,East,No purchases,Desktop,0.85,0.7056756019011982,1
2,Morning,Wednesday,Summer,25-34,Male,West,1-5 purchases,Desktop,0.85,0.5725004589092759,0
1,Afternoon,Sunday,Fall,25-34,Male,North,1-5 purchases,Mobile,0.95,0.6781689470016858,1
1,Afternoon,Sunday,Winter,18-24,Female,North,6-10 purchases,Desktop,0.5,0.6047773743307912,1
