TimeOfDay,DayOfWeek,Seasonality,Age,Gender,Location,PurchaseHistory,DeviceType,A,R
2.0,5.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,0.6542788498250943
0.0,5.0,0.0,3.0,0.0,1.0,3.0,2.0,0.2,0.4772800166730357
0.0,5.0,0.0,2.0,1.0,2.0,0.0,1.0,0.15,0.48344172068394975
2.0,4.0,2.0,1.0,1.0,1.0,2.0,0.0,0.3,0.5782240039203701
1.0,4.0,3.0,0.0,0.0,0.0,0.0,0.0,0.4,0.6560142556601641
1.0,5.0,0.0,3.0,1.0,1.0,0.0,1.0,0.9,0.7125284097939091
3.0,5.0,3.0,1.0,1.0,3.0,0.0,0.0,0.95,0.582811050502877
1.0,2.0,3.0,1.0,1.0,2.0,3.0,0.0,0.6,0.6352021231124063
2.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.05,0.544059182983159
2.0,3.0,1.0,1.0,0.0,3.0,3.0,2.0,0.2,0.6226728583335266
3.0,6.0,1.0,1.0,1.0,2.0,3.0,2.0,0.2,0.41761799557221857
3.0,2.0,2.0,1.0,1.0,3.0,1.0,0.0,1.0,0.6884728228029988
2.0,5.0,2.0,1.0,1.0,1.0,3.0,1.0,0.2,0.4879997932081276
2.0,2.0,3.0,0.0,1.0,3.0,3.0,1.0,0.35,0.6422630603721761
0.0,5.0,3.0,0.0,0.0,2.0,0.0,0.0,0.2,0.5132524727999729
3.0,1.0,1.0,0.0,1.0,3.0,2.0,1.0,0.45,0.5659396030461744
3.0,2.0,2.0,0.0,0.0,1.0,1.0,0.0,0.2,0.5617177394073163
2.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.55,0.5776718465647335
3.0,0.0,0.0,2.0,1.0,3.0,1.0,1.0,0.8,0.6300771231033195
0.0,0.0,1.0,3.0,1.0,3.0,0.0,0.0,0.9,0.48716921897610527
1.0,5.0,2.0,1.0,0.0,2.0,1.0,2.0,0.6,0.6624390310650876
0.0,6.0,0.0,3.0,0.0,1.0,3.0,1.0,0.2,0.521999427864481
2.0,1.0,2.0,0.0,1.0,2.0,3.0,1.0,0.9,0.730885276353222
1.0,3.0,0.0,1.0,0.0,1.0,1.0,2.0,0.95,0.6943958348007281
0.0,4.0,2.0,1.0,0.0,3.0,0.0,1.0,0.75,0.5429788430743165
2.0,5.0,1.0,4.0,0.0,0.0,3.0,0.0,0.9,0.5143858501176202
3.0,1.0,0.0,0.0,1.0,3.0,3.0,0.0,0.6,0.49290314548115527
0.0,2.0,1.0,1.0,0.0,0.0,3.0,0.0,0.25,0.44236403850760453
2.0,6.0,3.0,0.0,1.0,1.0,0.0,1.0,0.7,0.5255808090078595
3.0,5.0,1.0,0.0,1.0,0.0,0.0,0.0,0.3,0.4587076787072576
3.0,4.0,2.0,0.0,0.0,1.0,3.0,2.0,0.45,0.4324730904662893
0.0,4.0,0.0,4.0,1.0,3.0,0.0,1.0,0.2,0.4538610413545877
1.0,0.0,0.0,3.0,1.0,2.0,3.0,1.0,0.9,0.6589575821966206
2.0,1.0,2.0,0.0,1.0,2.0,1.0,2.0,0.55,0.5977211159514481
0.0,6.0,3.0,1.0,1.0,2.0,3.0,2.0,0.55,0.528213559672157
2.0,3.0,2.0,2.0,1.0,2.0,2.0,1.0,0.65,0.6346291445218112
2.0,5.0,0.0,3.0,0.0,0.0,2.0,1.0,0.85,0.623003036217702
3.0,6.0,1.0,1.0,0.0,0.0,0.0,2.0,0.8,0.5494411674932159
2.0,1.0,2.0,3.0,0.0,2.0,3.0,1.0,0.8,0.6618994011103907
1.0,4.0,1.0,1.0,0.0,2.0,3.0,1.0,0.6,0.5538682349578458
1.0,6.0,0.0,2.0,0.0,3.0,1.0,0.0,0.45,0.6448970130292583
0.0,6.0,1.0,1.0,0.0,3.0,3.0,2.0,0.6,0.5660704422144979
2.0,6.0,2.0,0.0,0.0,3.0,3.0,1.0,0.8,0.5742051389756782
3.0,0.0,2.0,2.0,1.0,1.0,0.0,0.0,0.5,0.46131330354688244
2.0,4.0,1.0,4.0,0.0,3.0,3.0,2.0,0.65,0.5820400623732179
1.0,5.0,1.0,1.0,1.0,3.0,3.0,0.0,0.75,0.5391620084749035
3.0,4.0,2.0,0.0,1.0,1.0,3.0,1.0,0.6,0.6808430548585162
3.0,3.0,0.0,1.0,0.0,2.0,3.0,1.0,0.75,0.5698083189505393
0.0,4.0,0.0,1.0,1.0,3.0,0.0,2.0,0.75,0.5708261736033493
1.0,1.0,0.0,2.0,0.0,0.0,0.0,1.0,0.7,0.6449947914986941
1.0,2.0,3.0,2.0,1.0,2.0,1.0,1.0,0.95,0.575988432474513
1.0,3.0,2.0,0.0,1.0,3.0,0.0,2.0,0.85,0.6116371586965876
0.0,6.0,2.0,1.0,0.0,2.0,0.0,2.0,1.0,0.515737487988958
1.0,1.0,0.0,4.0,0.0,2.0,2.0,0.0,0.45,0.5123408082479683
