U,TimeOfDay,DayOfWeek,Seasonality,Age,Gender,Location,PurchaseHistory,DeviceType,A,P_click,R
3,Morning,Thursday,Spring,35-44,Female,West,6-10 purchases,Tablet,0.85,0.6923011224695216,0
4,Morning,Wednesday,Winter,18-24,Female,West,No purchases,Mobile,0.85,0.5075434987739894,1
1,Evening,Saturday,Fall,18-24,Female,East,6-10 purchases,Mobile,0.65,0.7124893863981869,0
3,Afternoon,Monday,Fall,25-34,Male,South,6-10 purchases,Tablet,1.0,0.6992614282043205,1
3,Night,Saturday,Winter,45-54,Female,West,10+ purchases,Tablet,0.2,0.5675542165512315,0
4,Evening,Tuesday,Summer,35-44,Male,North,No purchases,Mobile,0.45,0.6206027717000013,1
1,Afternoon,Wednesday,Summer,18-24,Male,East,6-10 purchases,Mobile,0.05,0.6757213115935532,1
1,Night,Wednesday,Spring,18-24,Female,West,10+ purchases,Tablet,0.2,0.5557668422997725,1
3,Evening,Sunday,Winter,45-54,Female,North,10+ purchases,Desktop,0.8,0.7362812751466331,0
2,Evening,Friday,Fall,35-44,Male,East,No purchases,Desktop,0.5,0.5372704238641784,1
3,Evening,Saturday,Spring,25-34,Female,North,1-5 purchases,Desktop,0.95,0.7689155858374396,0
3,Evening,Thursday,Fall,45-54,Female,South,6-10 purchases,Desktop,0.8,0.7011780350115239,0
3,Night,Sunday,Summer,55+,Female,East,6-10 purchases,Desktop,0.8,0.685684793576439,0
3,Night,Tuesday,Spring,18-24,Female,South,10+ purchases,Mobile,1.0,0.7839040257779104,1
4,Afternoon,Friday,Spring,35-44,Female,South,No purchases,Tablet,0.55,0.45998775858520097,1
1,Night,Saturday,Fall,25-34,Female,North,6-10 purchases,Mobile,0.75,0.6344922914948573,1
4,Night,Friday,Fall,18-24,Male,West,No purchases,Mobile,0.5,0.5111124130882175,1
4,Evening,Sunday,Winter,35-44,Female,North,No purchases,Mobile,0.85,0.6079520348035912,0
4,Evening,Friday,Spring,18-24,Male,West,No purchases,Mobile,0.25,0.5882626004208109,1
3,Evening,Saturday,Winter,35-44,Female,South,6-10 purchases,Mobile,1.0,0.7643143503285453,1
2,Morning,Tuesday,Fall,25-34,Female,East,No purchases,Mobile,0.05,0.4410665287943115,0
1,Morning,Tuesday,Spring,18-24,Male,North,10+ purchases,Tablet,0.45,0.7164398380734922,1
2,Night,Thursday,Summer,55+,Female,East,1-5 purchases,Mobile,0.4,0.48505036890502745,1
4,Evening,Saturday,Winter,35-44,Male,South,No purchases,Mobile,0.9,0.5666895531431042,0
4,Morning,Wednesday,Summer,25-34,Female,North,No purchases,Tablet,0.9,0.532366025372902,1
2,Afternoon,Friday,Winter,35-44,Female,North,No purchases,Tablet,0.05,0.35302789766799514,1
2,Afternoon,Wednesday,Spring,35-44,Female,North,No purchases,Tablet,0.15,0.34498054693694147,1
2,Night,Saturday,Winter,25-34,Female,North,1-5 purchases,Tablet,0.2,0.35093152699057184,1
4,Evening,Tuesday,Summer,35-44,Male,East,No purchases,Mobile,0.25,0.5759494437985231,1
4,Evening,Friday,Winter,45-54,Female,West,No purchases,Mobile,0.6,0.5601533986302353,1
1,Morning,Friday,Winter,18-24,Male,West,10+ purchases,Mobile,0.95,0.7206167332711967,1
1,Night,Wednesday,Fall,18-24,Male,West,6-10 purchases,Mobile,0.9,0.7013533013123525,1
4,Night,Friday,Fall,35-44,Male,South,No purchases,Mobile,0.6,0.4969155697295942,0
2,Night,Monday,Spring,55+,Male,North,No purchases,Desktop,0.3,0.42160706852302116,1
2,Afternoon,Saturday,Fall,25-34,Female,North,No purchases,Desktop,1.0,0.5755601652121943,0
1,Night,Wednesday,Fall,35-44,Female,North,6-10 purchases,Tablet,0.6,0.547427214784764,1
4,Morning,Saturday,Summer,25-34,Female,North,1-5 purchases,Desktop,0.25,0.5734357094644277,1
1,Morning,Wednesday,Fall,45-54,Female,South,10+ purchases,Mobile,0.2,0.5991499242658195,1
1,Afternoon,Tuesday,Winter,18-24,Female,West,10+ purchases,Mobile,0.35,0.6348667302104477,0
