U,TimeOfDay,DayOfWeek,Seasonality,Age,Gender,Location,PurchaseHistory,DeviceType,A,P_click,R
2,Morning,Friday,Spring,25-34,Female,West,1-5 purchases,Desktop,0.95,0.527754562678741,1
4,Afternoon,Monday,Winter,25-34,Female,West,No purchases,Tablet,0.65,0.40255526082359866,1
1,Morning,Saturday,Spring,18-24,Male,West,6-10 purchases,Mobile,0.8,0.7496065269090858,1
2,Night,Sunday,Summer,18-24,Female,East,1-5 purchases,Desktop,0.8,0.518788468291719,1
3,Morning,Friday,Spring,25-34,Female,West,6-10 purchases,Mobile,0.65,0.7444185570506326,1
4,Evening,Thursday,Spring,25-34,Male,East,No purchases,Tablet,0.75,0.5205105835248118,1
4,Morning,Friday,Summer,35-44,Male,North,No purchases,Mobile,0.55,0.5702836473377864,1
2,Night,Friday,Summer,25-34,Male,North,1-5 purchases,Desktop,0.4,0.5017683916282415,0
2,Evening,Tuesday,Winter,35-44,Male,South,No purchases,Tablet,0.75,0.4921873149074395,1
2,Morning,Saturday,Summer,55+,Male,East,6-10 purchases,Tablet,0.8,0.6156756648057833,0
4,Night,Saturday,Winter,25-34,Male,East,No purchases,Tablet,0.75,0.42327173550840264,0
4,Afternoon,Wednesday,Winter,55+,Male,East,No purchases,Tablet,0.85,0.35543270823800976,0
2,Evening,Saturday,Winter,55+,Female,East,6-10 purchases,Desktop,0.8,0.5012912091265489,0
3,Night,Thursday,Fall,35-44,Female,North,10+ purchases,Desktop,0.9,0.6452229154739544,1
1,Evening,Thursday,Summer,18-24,Male,East,6-10 purchases,Mobile,0.55,0.7461701446992898,1
1,Evening,Friday,Winter,25-34,Female,South,6-10 purchases,Desktop,1.0,0.6322029831791989,1
2,Morning,Saturday,Spring,25-34,Male,North,No purchases,Mobile,0.4,0.5289340015583828,0
3,Evening,Friday,Spring,35-44,Female,North,6-10 purchases,Tablet,0.7,0.6593539641938353,1
3,Evening,Wednesday,Spring,25-34,Female,South,10+ purchases,Desktop,1.0,0.7868828786210126,1
2,Afternoon,Friday,Fall,25-34,Female,North,1-5 purchases,Mobile,0.75,0.49494709332221765,1
3,Afternoon,Tuesday,Spring,25-34,Female,West,No purchases,Mobile,1.0,0.6501654280473406,1
3,Evening,Sunday,Summer,35-44,Male,East,1-5 purchases,Desktop,0.7,0.7054427980430242,1
1,Night,Wednesday,Fall,35-44,Female,West,1-5 purchases,Mobile,0.6,0.5480168382801004,1
2,Morning,Wednesday,Fall,35-44,Female,West,No purchases,Tablet,1.0,0.4577873446654306,0
1,Morning,Saturday,Fall,18-24,Male,North,10+ purchases,Desktop,0.55,0.6848165382894629,1
2,Morning,Tuesday,Fall,45-54,Male,North,No purchases,Tablet,0.25,0.3882750444438094,0
2,Evening,Tuesday,Fall,18-24,Male,North,1-5 purchases,Tablet,0.25,0.48671238852615795,0
4,Afternoon,Saturday,Spring,18-24,Female,South,No purchases,Desktop,0.35,0.4881642031090708,1
4,Evening,Thursday,Winter,25-34,Female,West,1-5 purchases,Mobile,0.35,0.49194167554644586,1
1,Morning,Friday,Spring,45-54,Male,South,10+ purchases,Mobile,0.4,0.6659253485276387,0
3,Evening,Wednesday,Spring,45-54,Male,North,10+ purchases,Mobile,0.75,0.7730499036693108,0
2,Evening,Monday,Summer,25-34,Female,North,No purchases,Tablet,1.0,0.5314554670205774,1
3,Evening,Friday,Spring,18-24,Female,West,1-5 purchases,Tablet,0.7,0.5682615595617249,0
1,Evening,Tuesday,Fall,18-24,Female,South,10+ purchases,Desktop,0.6,0.714964334466511,1
2,Morning,Friday,Fall,25-34,Male,North,1-5 purchases,Tablet,0.75,0.4825959857405118,0
3,Morning,Sunday,Spring,55+,Male,North,6-10 purchases,Desktop,1.0,0.7368639505460358,0
4,Evening,Monday,Summer,18-24,Male,East,No purchases,Mobile,0.85,0.606318758848377,0
1,Night,Saturday,Summer,25-34,Male,West,6-10 purchases,Tablet,1.0,0.6291059971340326,1
2,Afternoon,Monday,Winter,35-44,Female,South,No purchases,Desktop,0.9,0.3683432839679787,0
3,Morning,Thursday,Fall,25-34,Female,North,6-10 purchases,Mobile,0.65,0.6949893572407415,1
4,Afternoon,Sunday,Spring,18-24,Male,North,No purchases,Desktop,0.85,0.5549941581417769,1
2,Afternoon,Monday,Fall,45-54,Female,West,6-10 purchases,Mobile,0.8,0.5227366959731814,0
2,Morning,Thursday,Spring,35-44,Male,South,6-10 purchases,Mobile,0.35,0.5917485389738615,1
3,Afternoon,Monday,Spring,45-54,Male,North,No purchases,Desktop,0.4,0.6281804806334597,0
4,Night,Saturday,Spring,35-44,Female,East,No purchases,Desktop,0.5,0.4792102848637601,1
3,Afternoon,Monday,Spring,55+,Female,East,6-10 purchases,Desktop,0.3,0.5855122635328739,0
2,Evening,Monday,Spring,35-44,Female,East,No purchases,Desktop,0.5,0.4966821475310449,0
1,Afternoon,Sunday,Winter,25-34,Male,East,1-5 purchases,Mobile,0.95,0.6452712944972232,0
4,Evening,Sunday,Spring,25-34,Female,North,No purchases,Mobile,0.75,0.5531850407428719,1
1,Night,Thursday,Summer,25-34,Female,West,1-5 purchases,Mobile,0.85,0.5857860045842807,1
3,Afternoon,Friday,Spring,45-54,Female,West,6-10 purchases,Tablet,0.65,0.5952691705806833,1
2,Evening,Thursday,Spring,25-34,Female,West,No purchases,Mobile,1.0,0.5285744468337114,1
2,Evening,Friday,Spring,18-24,Male,West,6-10 purchases,Mobile,0.3,0.6418539340754398,1
