U,TimeOfDay,DayOfWeek,Seasonality,Age,Gender,Location,PurchaseHistory,DeviceType,A,P_click,R
3,Evening,Wednesday,Summer,55+,Male,East,1-5 purchases,Desktop,0.7,0.7088016120287894,1
3,Evening,Monday,Summer,25-34,Female,South,10+ purchases,Desktop,0.35,0.7664338436825318,1
4,Evening,Friday,Spring,55+,Male,South,No purchases,Tablet,0.85,0.5563092025077848,0
2,Night,Monday,Spring,45-54,Female,North,1-5 purchases,Mobile,0.25,0.44450402961243146,1
2,Afternoon,Friday,Fall,35-44,Female,East,1-5 purchases,Mobile,0.1,0.41269083636757165,0
1,Morning,Thursday,Fall,25-34,Male,East,1-5 purchases,Desktop,0.2,0.581453341976239,1
4,Morning,Sunday,Spring,18-24,Male,East,No purchases,Desktop,0.95,0.6024771511168333,1
1,Evening,Thursday,Fall,35-44,Male,West,6-10 purchases,Tablet,0.7,0.7153476235614838,1
3,Morning,Saturday,Summer,45-54,Male,South,10+ purchases,Desktop,0.6,0.7621736999131252,0
2,Morning,Wednesday,Spring,18-24,Male,South,1-5 purchases,Desktop,0.7,0.5830100547351611,1
3,Night,Thursday,Fall,25-34,Female,South,10+ purchases,Tablet,0.85,0.68354744086207,1
1,Night,Friday,Winter,25-34,Male,East,6-10 purchases,Desktop,0.1,0.565820725377783,1
4,Morning,Friday,Fall,25-34,Male,East,No purchases,Desktop,0.55,0.5248778962837889,0
2,Morning,Wednesday,Summer,45-54,Male,West,No purchases,Tablet,0.15,0.468967875993386,1
3,Night,Monday,Spring,35-44,Female,West,10+ purchases,Tablet,0.95,0.6836449239778147,1
4,Night,Friday,Summer,18-24,Male,East,No purchases,Desktop,0.1,0.4572353622898116,0
4,Evening,Saturday,Fall,35-44,Female,South,No purchases,Tablet,1.0,0.5664270133134433,1
2,Afternoon,Sunday,Fall,35-44,Male,North,1-5 purchases,Mobile,0.8,0.5206831963178571,1
1,Night,Friday,Summer,25-34,Female,South,10+ purchases,Desktop,0.15,0.5885128263971903,1
1,Afternoon,Saturday,Spring,25-34,Male,South,10+ purchases,Tablet,0.55,0.6768777409705848,1
3,Night,Tuesday,Winter,18-24,Male,East,10+ purchases,Mobile,0.4,0.6433266538165376,0
1,Night,Wednesday,Spring,35-44,Female,East,1-5 purchases,Mobile,1.0,0.6602421370336198,0
3,Evening,Wednesday,Summer,35-44,Female,South,6-10 purchases,Tablet,0.6,0.7261813681103526,1
3,Morning,Wednesday,Fall,55+,Female,West,1-5 purchases,Mobile,0.4,0.6189241840785077,1
3,Evening,Wednesday,Fall,45-54,Female,West,10+ purchases,Tablet,0.85,0.7023719375726568,0
1,Morning,Friday,Spring,18-24,Male,South,1-5 purchases,Mobile,0.05,0.6139009675769648,1
4,Morning,Saturday,Spring,18-24,Male,North,No purchases,Tablet,0.35,0.5169559691562625,1
1,Night,Thursday,Spring,25-34,Female,East,10+ purchases,Desktop,0.55,0.6223633706743789,0
4,Evening,Saturday,Fall,45-54,Male,West,No purchases,Mobile,0.75,0.597511308109205,1
2,Evening,Friday,Spring,35-44,Male,West,6-10 purchases,Mobile,0.65,0.6376570130730249,0
2,Evening,Friday,Fall,25-34,Male,West,No purchases,Mobile,0.7,0.5371299409932656,1
2,Night,Friday,Spring,25-34,Male,South,No purchases,Desktop,1.0,0.5280650985256654,1
3,Night,Monday,Summer,25-34,Female,West,6-10 purchases,Tablet,0.45,0.6509041982398454,1
2,Morning,Sunday,Winter,18-24,Female,East,10+ purchases,Tablet,0.8,0.589526812894261,1
3,Morning,Tuesday,Winter,35-44,Female,West,10+ purchases,Tablet,0.75,0.6728970931678816,1
1,Morning,Tuesday,Summer,45-54,Male,East,1-5 purchases,Mobile,0.4,0.6731991868765018,0
3,Night,Thursday,Spring,55+,Female,South,1-5 purchases,Mobile,0.15,0.5462549130495237,0
3,Evening,Friday,Spring,25-34,Male,South,No purchases,Tablet,0.35,0.6072327450566687,0
2,Afternoon,Sunday,Fall,25-34,Female,East,No purchases,Mobile,0.55,0.49798888568472266,0
3,Evening,Tuesday,Spring,25-34,Female,North,6-10 purchases,Tablet,0.8,0.7323215803689183,1
1,Morning,Monday,Winter,25-34,Male,West,1-5 purchases,Mobile,0.6,0.6201249136064584,1
2,Afternoon,Friday,Summer,25-34,Female,North,1-5 purchases,Desktop,0.75,0.5734546808761396,0
3,Afternoon,Friday,Winter,25-34,Female,North,No purchases,Desktop,1.0,0.6162862271913676,1
3,Evening,Saturday,Fall,35-44,Female,North,6-10 purchases,Desktop,0.75,0.7526082029776193,0
4,Morning,Tuesday,Summer,18-24,Male,East,No purchases,Mobile,0.4,0.5668053090389518,0
1,Night,Saturday,Summer,25-34,Male,West,10+ purchases,Desktop,0.75,0.7190046862888684,1
1,Morning,Monday,Fall,25-34,Male,East,6-10 purchases,Mobile,0.1,0.6459233649570809,1
4,Morning,Monday,Winter,35-44,Female,West,No purchases,Tablet,0.35,0.38477251934385526,1
3,Morning,Tuesday,Summer,45-54,Male,East,6-10 purchases,Desktop,0.65,0.7231100724232054,0
2,Night,Monday,Fall,35-44,Male,South,1-5 purchases,Mobile,0.8,0.4805458565384191,1
2,Afternoon,Monday,Summer,35-44,Male,South,6-10 purchases,Tablet,0.65,0.5471060084657259,1
1,Evening,Friday,Spring,18-24,Male,East,1-5 purchases,Desktop,0.25,0.6304127046654471,1
3,Evening,Sunday,Spring,35-44,Male,East,6-10 purchases,Mobile,0.5,0.7730418939021372,1
2,Afternoon,Wednesday,Spring,35-44,Female,North,1-5 purchases,Mobile,0.25,0.5080876067387166,0
1,Afternoon,Tuesday,Spring,25-34,Male,East,10+ purchases,Mobile,0.65,0.7156978413114663,1
4,Evening,Wednesday,Summer,18-24,Female,West,No purchases,Tablet,0.35,0.5503194607894301,1
3,Morning,Tuesday,Winter,55+,Female,West,1-5 purchases,Tablet,0.15,0.5235811942851394,0
4,Morning,Saturday,Winter,25-34,Male,East,No purchases,Mobile,0.25,0.543297231865725,0
4,Afternoon,Friday,Summer,18-24,Male,South,No purchases,Tablet,0.7,0.5591769188356422,0
3,Afternoon,Friday,Winter,45-54,Male,East,1-5 purchases,Mobile,0.05,0.5979965493106311,1
4,Morning,Sunday,Winter,35-44,Male,South,No purchases,Mobile,0.4,0.5208019961623265,0
2,Morning,Tuesday,Summer,35-44,Female,North,1-5 purchases,Desktop,0.6,0.547123538736003,1
4,Evening,Friday,Fall,35-44,Female,South,No purchases,Desktop,0.75,0.5122637283764162,1
3,Night,Wednesday,Winter,45-54,Female,South,10+ purchases,Desktop,0.75,0.5823565257582095,0
2,Evening,Saturday,Fall,25-34,Female,East,1-5 purchases,Desktop,0.4,0.5292260749538977,1
1,Morning,Wednesday,Fall,45-54,Female,East,1-5 purchases,Desktop,0.25,0.5022108000523086,1
2,Afternoon,Saturday,Spring,45-54,Male,South,1-5 purchases,Mobile,0.85,0.5417659986008149,1
2,Evening,Tuesday,Summer,18-24,Male,East,1-5 purchases,Desktop,0.8,0.6371220891472814,0
2,Morning,Friday,Summer,35-44,Female,West,6-10 purchases,Tablet,0.25,0.5070320507850242,1
4,Morning,Tuesday,Winter,35-44,Female,West,1-5 purchases,Mobile,0.65,0.4632285203873018,0
1,Morning,Saturday,Spring,18-24,Male,North,10+ purchases,Mobile,0.3,0.7667155515317129,1
1,Afternoon,Thursday,Winter,18-24,Male,East,6-10 purchases,Desktop,0.25,0.6070241657759453,0
4,Evening,Tuesday,Fall,35-44,Male,East,No purchases,Mobile,0.7,0.597353756346181,0
3,Night,Saturday,Fall,25-34,Female,East,6-10 purchases,Mobile,0.3,0.648870428390616,0
3,Morning,Monday,Winter,55+,Male,West,6-10 purchases,Desktop,0.15,0.595819617436275,1
3,Morning,Friday,Winter,45-54,Male,North,10+ purchases,Mobile,0.45,0.698808219309846,1
4,Afternoon,Saturday,Fall,25-34,Male,West,No purchases,Mobile,0.95,0.6040019424486393,1
3,Afternoon,Thursday,Summer,55+,Female,North,6-10 purchases,Desktop,0.8,0.7017256362207149,0
3,Afternoon,Thursday,Summer,45-54,Male,North,6-10 purchases,Desktop,0.3,0.6628076209808677,1
4,Night,Saturday,Spring,35-44,Male,South,No purchases,Mobile,0.35,0.5121908974241275,1
4,Afternoon,Thursday,Summer,45-54,Male,East,No purchases,Tablet,0.3,0.459762296890422,1
1,Night,Monday,Fall,18-24,Female,East,1-5 purchases,Mobile,0.1,0.49578982072745714,1
3,Night,Monday,Summer,45-54,Female,East,6-10 purchases,Desktop,0.9,0.7197649582847485,0
3,Afternoon,Sunday,Winter,35-44,Female,South,6-10 purchases,Desktop,0.65,0.6719773133941906,1
4,Morning,Thursday,Spring,18-24,Male,West,No purchases,Mobile,0.9,0.6194967722453331,0
2,Night,Friday,Fall,25-34,Female,East,1-5 purchases,Tablet,0.1,0.38335560717843364,0
3,Morning,Wednesday,Summer,55+,Female,North,10+ purchases,Tablet,0.1,0.6441986801908516,0
4,Morning,Wednesday,Winter,35-44,Female,North,No purchases,Tablet,0.75,0.41036542582946633,0
2,Morning,Friday,Fall,25-34,Male,West,1-5 purchases,Mobile,0.75,0.5583551408827256,1
3,Morning,Wednesday,Winter,45-54,Male,South,10+ purchases,Desktop,0.75,0.7341570362801638,0
4,Evening,Monday,Winter,45-54,Female,West,No purchases,Desktop,1.0,0.5079414853948456,0
2,Morning,Wednesday,Winter,55+,Female,West,6-10 purchases,Desktop,0.75,0.5024104769809923,1
4,Afternoon,Monday,Winter,25-34,Female,East,No purchases,Mobile,0.9,0.5407871579570065,0
1,Evening,Sunday,Fall,25-34,Male,North,1-5 purchases,Mobile,0.85,0.7302563054543608,0
2,Evening,Saturday,Summer,25-34,Female,South,No purchases,Tablet,0.55,0.5618939153509602,1
3,Morning,Friday,Winter,25-34,Male,South,10+ purchases,Tablet,0.25,0.651712394303857,1
4,Evening,Monday,Summer,18-24,Male,West,No purchases,Tablet,0.85,0.6706300395382778,1
1,Evening,Thursday,Winter,35-44,Female,West,No purchases,Mobile,0.35,0.5797994770239954,0
4,Morning,Sunday,Fall,18-24,Male,West,1-5 purchases,Desktop,0.7,0.5641965958562055,0
4,Afternoon,Friday,Fall,18-24,Male,West,1-5 purchases,Desktop,0.7,0.5331238583070237,1
